src,dst
135,70
135,73
136,66
136,67
136,68
136,69
136,70
136,73
137,48
137,51
137,53
137,54
137,55
137,56
137,66
137,67
137,68
137,69
137,70
137,73
138,45
138,46
138,48
138,49
138,51
138,52
138,53
138,54
138,55
138,56
139,45
139,46
139,48
139,49
139,51
139,52
139,53
139,54
139,55
139,56
140,46
140,47
140,48
140,49
140,50
140,55
140,59
140,60
141,46
141,47
141,48
141,49
141,50
141,55
141,59
141,60
142,46
142,47
142,48
142,49
142,55
142,60
143,30
143,46
143,55
143,60
144,30
144,46
144,55
144,60
145,1
145,38
145,39
146,1
146,38
146,39
147,44
147,45
147,46
147,49
147,52
147,58
148,44
148,58
149,44
149,53
149,56
149,57
149,58
150,44
150,53
150,56
150,57
150,58
151,40
151,44
151,53
151,56
151,57
151,58
152,40
152,44
152,53
153,3
153,7
153,11
153,40
153,44
153,53
154,3
154,7
154,11
154,14
154,18
154,19
154,20
154,21
154,22
154,23
154,24
154,25
154,26
154,27
154,28
154,29
154,188
154,197
154,198
154,199
154,200
154,201
154,202
154,203
154,204
154,205
155,4
155,5
155,7
155,8
155,9
155,12
155,13
155,14
155,15
155,16
155,18
155,19
155,20
155,21
155,22
155,23
155,24
155,25
155,26
155,27
155,28
155,29
155,180
155,181
155,182
155,183
155,184
155,185
155,186
155,187
156,3
156,4
156,5
156,7
156,8
156,9
156,11
156,12
156,13
156,14
156,15
156,16
156,18
156,19
156,20
156,21
156,22
156,23
156,24
156,25
156,26
156,27
156,28
156,29
156,180
156,181
156,182
156,183
156,184
156,185
156,186
156,187
156,188
156,197
156,198
156,199
156,200
156,201
156,202
156,203
156,204
156,205
157,14
157,15
157,16
157,18
157,19
157,20
157,21
157,22
157,23
157,180
157,181
157,188
157,197
157,198
157,205
158,14
158,15
158,16
158,18
158,19
158,20
158,21
158,22
158,23
158,180
158,181
158,188
158,197
158,198
158,205
161,77
161,82
161,85
162,62
162,72
162,77
162,82
162,85
163,62
163,72
164,62
164,72
165,62
165,72
166,44
166,45
166,46
166,49
166,52
166,58
166,62
166,72
167,23
167,158
167,181
167,198
167,248
168,23
168,158
168,181
168,198
168,248
169,23
169,157
169,158
169,181
169,198
169,247
169,248
170,157
170,158
170,247
170,248
170,274
170,275
170,276
171,157
171,158
171,174
171,175
171,247
171,248
171,249
171,250
171,274
171,275
171,276
172,153
172,154
172,155
172,156
172,157
172,158
172,174
172,175
172,243
172,244
172,247
172,248
172,249
172,250
172,258
172,259
172,265
172,266
172,267
172,274
172,275
172,276
173,153
173,154
173,155
173,156
173,157
173,158
173,174
173,175
173,243
173,244
173,247
173,248
173,249
173,250
173,258
173,259
173,265
173,266
173,267
173,274
173,275
173,276
174,174
174,175
174,238
174,243
174,244
174,247
174,248
174,249
174,250
174,259
174,266
174,267
174,275
174,276
175,235
175,238
175,251
176,235
176,236
176,238
176,251
177,236
178,236
180,233
181,233
182,233
184,212
184,213
184,214
184,215
184,216
184,217
184,218
184,219
184,220
184,221
184,222
184,223
184,224
184,225
184,226
184,227
184,228
184,229
184,230
184,231
185,212
185,213
185,214
185,215
185,216
185,217
185,218
185,219
